Type,Text/URL/Language,Level/Count,Start Line,End Line
heading,Comprehensive Markdown Test Document,1,1,2
heading,Headers,2,5,6
heading,Level 3 Header,3,7,8
heading,Level 4 Header,4,8,9
heading,Level 5 Header,5,9,10
heading,Level 6 Header,6,10,11
heading,Text Formatting,2,12,13
heading,Links,2,18,19
heading,Images,2,30,31
heading,Lists,2,38,39
heading,Unordered Lists,3,40,41
heading,Ordered Lists,3,47,48
heading,Task Lists,3,54,55
heading,Code Blocks,2,59,60
heading,Fenced Code Block with Language,3,61,62
heading,Fenced Code Block without Language,3,72,73
heading,Indented Code Block,3,78,79
heading,Blockquotes,2,85,86
heading,Tables,2,92,93
heading,Horizontal Rules,2,100,101
heading,HTML Elements,2,108,109
heading,Special Characters and Escaping,2,116,117
heading,Line Breaks,2,120,121
heading,Footnotes,2,127,128
heading,Definition Lists,2,133,134
heading,Abbreviations,2,142,143
heading,Math (if supported),2,149,150
heading,Conclusion,2,158,159
code_block,python,7,62,71
code_block,text,2,73,77
code_block,text,6,80,85
link,Inline link -> https://example.com,-,22,22
link,Link with title -> https://example.com,-,23,23
reference_link,Reference link -> None,-,24,24
autolink,https://autolink.example.com -> https://autolink.example.com,-,25,25
image,Alt text -> image.png,-,32,34
image,Image with title -> image.png,-,32,34
reference_image,Reference image,-,34,34
image_reference_definition,Image Reference Definition: img1,-,36,37
,"[ref1]: https://reference.example.com ""Reference L",-,28,29
,"[img1]: reference-image.png ""Reference Image""
",-,36,37
unordered,Unordered List (5 items),-,22,28
unordered,Unordered List (3 items),-,41,47
unordered,Unordered List (2 items),-,43,45
ordered,Ordered List (3 items),-,48,54
ordered,Ordered List (2 items),-,50,52
task,Task List (3 items),-,55,59
table,3x4,-,94,99
blockquote,"Blockquote: This is a blockquote.
It can span mult",-,87,91
blockquote,Blockquote: This is a nested blockquote.,-,90,91
horizontal_rule,Horizontal Rule,-,102,103
horizontal_rule,Horizontal Rule,-,104,105
horizontal_rule,Horizontal Rule,-,106,107
html_block,HTML Block: div,-,110,112
html_block,HTML Block: p,-,112,114
html_block,HTML Block: HTML,-,114,115
strong_emphasis,Bold: bold text,-,14,14
strong_emphasis,Bold: bold and italic,-,14,14
emphasis,Italic: italic text,-,14,14
emphasis,"Italic: [HTML]: Hyper Text Markup Language
",-,144,145
emphasis,Italic: {i=1}^{n} x,-,153,156
emphasis,Italic: 1 + x,-,153,156
strikethrough,Strikethrough: strikethrough,-,16,16
footnote_reference,Footnote Reference: 1,-,129,129
footnote_definition,Footnote Definition: 1,-,131,132
footnote_reference,Footnote Reference: 1,-,131,131